id,swedish_proverb,literal_meaning,arabic_equivalent,verb,verb_translation,verb_infinitive,verb_present,verb_past,verb_supine
178,"Ta någon på sängen","أخذ شخص (وهو) على السرير","باغته / فاجأه وهو غير مستعد","Ta","يأخذ","Ta","Tar","Tog","Tagit"
179,"Vara tappad bakom en vagn","أن يكون مُسقطاً خلف عربة","غبي / بطيء الفهم","Vara","يكون","Vara","Är","Var","Varit"
180,"Äta upp sin hatt","أكل قبعته","يراهن على المستحيل","Äta","يأكل","Äta","Äter","Åt","Ätit"
181,"Bita huvudet av skammen","قضم رأس العار","تجاوز الخجل / تجرأ","Bita","يعض","Bita","Biter","Bet","Bitit"
182,"Dra öronen åt sig","سحب الأذنين نحو النفس","ارتاب / أخذ حذره / تراجع","Dra","يسحب","Dra","Drar","Drog","Dragit"
183,"Få blodad tand","الحصول على سن مُدمى","استحلى الشيء / تحمس للمزيد بعد التجربة","Få","يحصل","Få","Får","Fick","Fått"
184,"Gå som på nålar","المشي كأنه على إبر","قلق جداً / متوتر","Gå","يمشي","Gå","Går","Gick","Gått"
185,"Ha skinn på näsan","لديه جلد على الأنف","قوي الشخصية / حازم","Ha","يملك","Ha","Har","Hade","Haft"
186,"Känna på pulsen","جس النبض","اختبر الوضع / استطلع الأمر","Känna","يشعر","Känna","Känner","Kände","Känt"
187,"Lägga locket på","وضع الغطاء على","تكتّم على الموضوع / أغلق الملف","Lägga","يضع","Lägga","Lägger","La","Lagt"
188,"Måla in sig i ett hörn","رسم نفسه داخل زاوية","حشر نفسه في مأزق لا مخرج منه","Måla","يرسم","Måla","Målar","Målade","Målat"
189,"Nypa sig i armen","قرص نفسه في الذراع","غير مصدق لما يحدث (من الفرح)","Nypa","يقرص","Nypa","Nyper","Nöp","Nupit"
190,"Se rött","رؤية الأحمر","استشاط غضباً / فقد أعصابه","Se","يرى","Se","Ser","Såg","Sett"
191,"Slå knut på sig själv","عقد عقدة على نفسه","بذل جهداً خارقاً (لإرضاء أحد)","Slå","يضرب","Slå","Slår","Slog","Slagit"
192,"Stå pall","الوقوف كقاعدة","صمد / تحمل الضغط","Stå","يقف","Stå","Står","Stod","Stått"
193,"Ta sig i kragen","إمساك نفسه من الياقة","تمالك نفسه / شد حيله","Ta","يأخذ","Ta","Tar","Tog","Tagit"
194,"Vända blad","قلب الصفحة","بدأ صفحة جديدة / تجاوز الماضي","Vända","يقلب","Vända","Vänder","Vände","Vänt"
195,"Gå ur askan i elden","الخروج من الرماد إلى النار","كالمستجير من الرمضاء بالنار","Gå","يمشي","Gå","Går","Gick","Gått"
196,"Ha tummen mitt i handen","لديه الإبهام وسط اليد","أخرق / لا يجيد الأعمال اليدوية","Ha","يملك","Ha","Har","Hade","Haft"
197,"Inte se röken av","عدم رؤية دخان (الشيء)","اختفى تماماً / لم يظهر له أثر","Se","يرى","Se","Ser","Såg","Sett"
198,"Klara biffen","إنهاء شريحة اللحم (مجازياً)","أنجز المهمة بنجاح / دبرها","Klara","ينجز","Klara","Klarar","Klarade","Klarat"
199,"Lägga på minnet","الوضع على الذاكرة","حفظ / تذكر جيداً","Lägga","يضع","Lägga","Lägger","La","Lagt"
200,"Sätta pricken över i:et","وضع النقطة فوق حرف i","أتم الشيء على أكمل وجه / مسك الختام","Sätta","يضع","Sätta","Sätter","Satte","Satt"
201,"Axlarna slokar","الأكتاف تتدلى","يئس / أصابه الإحباط","Sloka","يتدلى","Sloka","Slokar","Slokade","Slokat"
202,"Bakom lyckta dörrar","خلف أبواب مغلقة","في السر / بعيداً عن الأعين","Stänga","يغلق","Stänga","Stänger","Stängde","Stängt"
203,"Bjuda med armbågen","الدعوة بالمرفق (الكوع)","عزومة مراكبية / دعوة غير صادقة","Bjuda","يدعو","Bjuda","Bjuder","Bjöd","Bjudit"
204,"Bränna sina skepp","حرق سفنه","قطع خط الرجعة / لا عودة للوراء","Bränna","يحرق","Bränna","Bränner","Brände","Bränt"
205,"Bygga luftslott","بناء قصور في الهواء","أحلام اليقظة / أضغاث أحلام","Bygga","يبني","Bygga","Bygger","Byggde","Byggt"
206,"Byta fot","تغيير القدم","غير رأيه / بدل موقفه","Byta","يبدل","Byta","Byter","Bytte","Bytt"
207,"Dra benen efter sig","سحب الساقين خلفه","يتسكع / يتباطأ كسلاً","Dra","يسحب","Dra","Drar","Drog","Dragit"
208,"Dra lärdom av","سحب (استخلاص) عِبرة من","اتعظ / تعلم الدرس","Dra","يسحب","Dra","Drar","Drog","Dragit"
209,"Falla i god jord","السقوط في تربة جيدة","لقي قبولاً حسناً","Falla","يسقط","Falla","Faller","Föll","Fallit"
210,"Fiska i grumligt vatten","الصيد في الماء العكر","يصطاد في الماء العكر","Fiska","يصطاد","Fiska","Fiskar","Fiskade","Fiskat"
211,"Få en knäpp på näsan","تلقي نقرة على الأنف","تلقى توبيخاً / أُحرج","Få","يحصل","Få","Får","Fick","Fått"
212,"Få kalla handen","الحصول على اليد الباردة","قوبل بالرفض / الصد","Få","يحصل","Få","Får","Fick","Fått"
213,"Få vatten på sin kvarn","الحصول على ماء لطاحونته","وجد ما يؤيد رأيه","Få","يحصل","Få","Får","Fick","Fått"
214,"Ge betalt för gammal ost","الدفع مقابل الجبن القديم","رد الصاع صاعين / الانتقام لأمر قديم","Ge","يعطي","Ge","Ger","Gav","Gett"
215,"Gjort är gjort","ما فُعل قد فُعل","اللي فات مات / ما مضى فات","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
216,"Gråta över spilld mjölk","البكاء على الحليب المسكوب","لا جدوى من البكاء على اللبن المسكوب","Gråta","يبكي","Gråta","Gråter","Grät","Gråtit"
217,"Gå bakom ryggen på någon","المشي خلف ظهر أحدهم","التصرف في الخفاء / الخيانة","Gå","يمشي","Gå","Går","Gick","Gått"
218,"Gå i barndom","الدخول في الطفولة","أصابه الخرف / عاد أرذل العمر","Gå","يمشي","Gå","Går","Gick","Gått"
219,"Gå man ur huse","خروج الرجال من المنازل","خرجوا عن بكرة أبيهم / استنفار عام","Gå","يمشي","Gå","Går","Gick","Gått"
220,"Ha ett finger med i spelet","لديه إصبع في اللعبة","له يد في الموضوع","Ha","يملك","Ha","Har","Hade","Haft"
221,"Ha hjärtat i halsgropen","القلب في الحنجرة","قلبه في ركبه / خائف جداً","Ha","يملك","Ha","Har","Hade","Haft"
222,"Ha häcken full","المؤخرة ممتلئة (مشغولة)","مشغول جداً","Ha","يملك","Ha","Har","Hade","Haft"
223,"Ha något i kikaren","لديه شيء في المنظار","يخطط لشيء ما / ينوي على شيء","Ha","يملك","Ha","Har","Hade","Haft"
224,"Hålla god min","الحفاظ على تعبير (وجه) جيد","تظاهر بالرضا / أخفى مشاعره السلبية","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
225,"Inte säga flaska","عدم قول (كلمة) زجاجة","لم ينبس ببنت شفة / صمت مطبق","Säga","يقول","Säga","Säger","Sa","Sagt"
226,"Kamma hem vinsten","تمشيط الربح للمنزل","فاز بالجائزة / حقق النصر","Kamma","يمشط","Kamma","Kammar","Kammade","Kammat"
227,"Knyta näven i fickan","عقد القبضة داخل الجيب","كظم غيظه / غضب بصمت","Knyta","يربط","Knyta","Knyter","Knöt","Knutit"
228,"Krypa till korset","الزحف إلى الصليب","الاعتراف بالخطأ / الإذعان","Krypa","يزحف","Krypa","Kryper","Kröp","Krupit"
229,"Köra huvudet i väggen","قيادة الرأس في الحائط","وصل لطريق مسدود / يحرث في البحر","Köra","يقود","Köra","Kör","Körde","Kört"
230,"Leva på hoppet","العيش على الأمل","يعيش على الأمل","Leva","يعيش","Leva","Lever","Levde","Levt"
231,"Ligga i selen","الاستلقاء في السرج (العمل)","يعمل بجد / يكدح","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
232,"Lägga band på sig","وضع رباط على نفسه","تمالك نفسه / كبح جماحه","Lägga","يضع","Lägga","Lägger","La","Lagt"
233,"Lägga manken till","وضع الكاهل (أعلى الظهر) للشيء","بذل جهداً إضافياً / شد حيله","Lägga","يضع","Lägga","Lägger","La","Lagt"
234,"Lägga sten på börda","وضع حجر فوق الحمل","زاد الطين بلة / أثقل كاهله","Lägga","يضع","Lägga","Lägger","La","Lagt"
235,"Mista ansiktet","فقدان الوجه","أريق ماء وجهه / فقد هيبته","Mista","يفقد","Mista","Mister","Mistte","Mist"
236,"Hissen går inte ända upp","المصعد لا يصل للأعلى","غبي / عقله غير مكتمل","Gå","يمشي","Gå","Går","Gick","Gått"
237,"Prata bredvid mun","التحدث بجانب الفم","زل لسانه / أفشى سراً دون قصد","Prata","يتحدث","Prata","Pratar","Pratade","Pratat"
238,"På rak arm","على ذراع مستقيمة","بديهياً / دون تحضير أو مراجعة","Vara","يكون","Vara","Är","Var","Varit"
239,"Rinna av som vatten på en gås","يسيل كالماء عن الإوزة","لا يبالي / الكلام يدخل من أذن ويخرج من الأخرى","Rinna","يسيل","Rinna","Rinner","Rann","Runnit"
240,"Rulla tummarna","دحرجة الإبهامين","الجلوس بلا عمل / يقتل الوقت","Rulla","يدحرج","Rulla","Rullar","Rullade","Rullat"
241,"Rösta med fötterna","التصويت بالقدمين","المغادرة احتجاجاً / ترك المكان","Rösta","يصوت","Rösta","Röstar","Röstade","Röstat"
242,"Sitta i samma båt","الجلوس في نفس القارب","في الهوا سوا / المصير المشترك","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
243,"Sitta på höga hästar","الجلوس على خيول عالية","التكبر / التعالي على الناس","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
244,"Skita i det blå skåpet","التغوط في الخزانة الزرقاء","تجاوز الحدود تماماً / خربها","Skita","يتغوط","Skita","Skiter","Sket","Skitit"
245,"Skratta hela vägen till banken","الضحك طوال الطريق للبنك","كسب مالاً وفيراً","Skratta","يضحك","Skratta","Skrattar","Skrattade","Skrattat"
246,"Skrivet i stjärnorna","مكتوب في النجوم","مقدر ومكتوب / في علم الغيب","Skriva","يكتب","Skriva","Skriver","Skrev","Skrivit"
247,"Slå ett slag för","توجيه ضربة لأجل (شيء)","دعم قضية / روّج لفكرة","Slå","يضرب","Slå","Slår","Slog","Slagit"
248,"Slå på stort","الضرب على (شيء) كبير","أقام احتفالاً باذخاً / صرف ببذخ","Slå","يضرب","Slå","Slår","Slog","Slagit"
249,"Spela allan","لعب دور 'آلان'","يتظاهر بالقوة / يتفشخر","Spela","يلعب","Spela","Spelar","Spelade","Spelat"
250,"Spotta i nävarna","البصق في القبضات","الاستعداد للعمل الجاد / شمر عن ساعديه","Spotta","يبصق","Spotta","Spottar","Spottade","Spottat"
251,"Få ändan ur vagnen","إخراج المؤخرة من العربة","تحرك / بطل كسل وابدأ العمل","Få","يحصل","Få","Får","Fick","Fått"
252,"Ge svar på tal","إعطاء جواب على الكلام","أفحمه بالرد / حاضر البديهة","Ge","يعطي","Ge","Ger","Gav","Gett"
253,"Gå i stöpet","الذهاب في الصهر (القالب)","فشل فشلاً ذريعاً / ذهب هباءً","Gå","يمشي","Gå","Går","Gick","Gått"
254,"Otack är världens lön","النكران هو مكافأة العالم","خير تعمل شر تلقى","Vara","يكون","Vara","Är","Var","Varit"
255,"Bära hundhuvudet","حمل رأس الكلب","تحمل اللوم (عن الآخرين)","Bära","يحمل","Bära","Bär","Bar","Burit"
256,"Föra någon bakom ljuset","قيادة شخص خلف الضوء","خداعه / التغرير به","Föra","يقود","Föra","För","Förde","Fört"
257,"Gå av stapeln","المشي من المنصة (إطلاق السفينة)","حدث / جرى (للفعاليات)","Gå","يمشي","Gå","Går","Gick","Gått"
258,"Gå i lås","الذهاب في القفل","نجح الأمر / تم بنجاح","Gå","يمشي","Gå","Går","Gick","Gått"
259,"Hålla tungan rätt i mun","إمساك اللسان بشكل صحيح في الفم","التركيز الشديد / الدقة والحذر","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
260,"Knyta hymens band","ربط أشرطة (الإله) هيمن","عقد القران / تزوج","Knyta","يربط","Knyta","Knyter","Knöt","Knutit"
261,"Lägga sordin på","وضع كاتم صوت على","عكّر المزاج / خفف من الحماس","Lägga","يضع","Lägga","Lägger","La","Lagt"
262,"Tappa besinningen","إسقاط رباطة الجأش","فقد أعصابه / خرج عن طوره","Tappa","يسقط","Tappa","Tappar","Tappade","Tappat"
263,"Peka med hela handen","الإشارة بكل اليد","أصدر أوامر صارمة / حزم","Peka","يشير","Peka","Pekar","Pekade","Pekat"
264,"Prata i nattmössan","التحدث في قبعة النوم","يخرف / يقول كلاماً فارغاً","Prata","يتحدث","Prata","Pratar","Pratade","Pratat"
265,"Sitta på pottkanten","الجلوس على حافة القصرية (النونية)","في موقف حرج / ورطة","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
266,"Ta sig en funderare","أخذ (لنفسه) تفكيرة","أعاد التفكير / تمهل قبل القرار","Ta","يأخذ","Ta","Tar","Tog","Tagit"
267,"Slita hund","تمزيق كلب (مجازياً للجهد)","كرف / عمل بجهد شاق جداً","Slita","يمزق","Slita","Sliter","Slet","Slitit"
268,"Sticka hål på myten","ثقب الخرافة","دحض الأسطورة / كشف الحقيقة","Sticka","يثقب","Sticka","Sticker","Stack","Stuckit"
269,"Stå med skägget i brevlådan","الوقوف واللحية في صندوق البريد","انكشف أمره / في موقف محرج ومفاجئ","Stå","يقف","Stå","Står","Stod","Stått"
270,"Ta till orda","الأخذ للكلمة","بدأ الكلام / ألقى خطاباً","Ta","يأخذ","Ta","Tar","Tog","Tagit"
271,"Trampa någon på tårna","دوس أحدهم على أصابع القدم","أهانه / جرح مشاعره","Trampa","يدوس","Trampa","Trampar","Trampade","Trampat"
272,"Upp som en sol, ner som en pannkaka","صعوداً كالشمس، نزولاً كالبانكيك","بداية قوية ونهاية مخيبة","Gå","يمشي","Gå","Går","Gick","Gått"
273,"Vända upp och ner på","قلب (الشيء) رأساً على عقب","فتش بدقة / قلب المكان","Vända","يقلب","Vända","Vänder","Vände","Vänt"
274,"Veta hut","معرفة الأدب/الخجل","تأدب / الزم حدك","Veta","يعرف","Veta","Vet","Visste","Vetat"
275,"Det osar katt","إنها تفوح رائحة قط","الأمر مريب / هناك مكيدة","Osa","يفوح","Osa","Osar","Osade","Osat"
276,"Äta ur handen","الأكل من اليد","مطيع جداً / خاتم في الإصبع","Äta","يأكل","Äta","Äter","Åt","Ätit"
277,"Det knallar och går","إنها تطقطق وتمشي","الحال ماشي / الأمور مقبولة","Gå","يمشي","Gå","Går","Gick","Gått"
278,"Dra en vals","سحب (عزف) فالس","كذب / ألف قصة","Dra","يسحب","Dra","Drar","Drog","Dragit"
279,"Falla i farstun","السقوط في المدخل","انبهره / سحر به بسهولة","Falla","يسقط","Falla","Faller","Föll","Fallit"
280,"Få en törn","تلقي صدمة/ضربة","تضرر / أصيب بانتكاسة","Få","يحصل","Få","Får","Fick","Fått"
281,"Gå i spinn","الدخول في دوران","فقد السيطرة / توتر بشكل هستيري","Gå","يمشي","Gå","Går","Gick","Gått"
282,"Gå upp i rök","الصعود في دخان","تلاشى / اختفى تماماً","Gå","يمشي","Gå","Går","Gick","Gått"
283,"Ha ett hjärta av guld","امتلاك قلب من ذهب","طيب القلب جداً","Ha","يملك","Ha","Har","Hade","Haft"
284,"Ha rent samvete","امتلاك ضمير نظيف","مرتاح الضمير","Ha","يملك","Ha","Har","Hade","Haft"
285,"Hänga läpp","تعليق الشفة","عبس / تضايق / بوز","Hänga","يعلق","Hänga","Hänger","Hängde","Hängt"
286,"I elfte timmen","في الساعة الحادية عشرة","في اللحظة الأخيرة / قبل فوات الأوان","Vara","يكون","Vara","Är","Var","Varit"
287,"Inte ett öga torrt","ليست هناك عين جافة","مؤثر جداً / أبكى الجميع","Vara","يكون","Vara","Är","Var","Varit"
288,"Kasta loss","رمي (الحبل) للتحرر","أبحر / انطلق","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
289,"Klappa ihop","التصفيق معاً (الانهيار)","انهار (نفسياً أو جسدياً)","Klappa","يصفق","Klappa","Klappar","Klappade","Klappat"
290,"Komma på grön kvist","المجيء على غصن أخضر","اغتنى / تحسنت أحواله المادية","Komma","يأتي","Komma","Kommer","Kom","Kommit"
291,"Leva i nuet","العيش في الحاضر","عش يومك / استمتع باللحظة","Leva","يعيش","Leva","Lever","Levde","Levt"
292,"Lägga i en högre växel","وضع ترس أعلى","سرّع الوتيرة / شد حيله","Lägga","يضع","Lägga","Lägger","La","Lagt"
293,"Ha råg i ryggen","لديه شيلم (حبوب) في الظهر","شجاع / قوي الشخصية / صلب","Ha","يملك","Ha","Har","Hade","Haft"
294,"Nå vägs ände","الوصول لنهاية الطريق","وصل لطريق مسدود / النهاية","Nå","يصل","Nå","Når","Nådde","Nått"
295,"Raka rör","أنابيب مستقيمة","صراحة تامة / تواصل مباشر","Vara","يكون","Vara","Är","Var","Varit"
296,"Se om sitt hus","النظر حول منزله","رعاية مصالحه الخاصة / اهتم بشؤونه","Se","يرى","Se","Ser","Såg","Sett"
297,"Slå dövörat till","ضرب الأذن الصماء لـ","تجاهل / عمل نفسه مش سامع","Slå","يضرب","Slå","Slår","Slog","Slagit"
298,"Spela teater","لعب مسرح","مثل / تظاهر","Spela","يلعب","Spela","Spelar","Spelade","Spelat"
299,"Stå på egna ben","الوقوف على الأرجل الخاصة","اعتمد على نفسه / استقل","Stå","يقف","Stå","Står","Stod","Stått"
300,"Ta det med en nypa salt","أخذه بقرصة ملح","لا تصدقه تماماً / تقبله بتحفظ","Ta","يأخذ","Ta","Tar","Tog","Tagit"
301,"Dra sitt strå till stacken","سحب قشته إلى الكومة","يساهم بنصيبه / يدلي بدلوه","Dra","يسحب","Dra","Drar","Drog","Dragit"
302,"Sätta käppar i hjulet","وضع عصي في العجلة","يعرقل الأمور / يضع العصي في الدواليب","Sätta","يضع","Sätta","Sätter","Satte","Satt"
303,"Vända på steken","قلب الشواء (اللحم)","قلب الموازين / نظر للأمر من زاوية أخرى","Vända","يقلب","Vända","Vänder","Vände","Vänt"
304,"Göra någon en björntjänst","تقديم خدمة دب لشخص ما","يضر من حيث أراد أن ينفع / خدمة مضرة","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
305,"Vara ute på hal is","أن تكون على جليد زلق","في موقف خطر / يلعب بالنار","Vara","يكون","Vara","Är","Var","Varit"
306,"Kosta skjortan","يكلف القميص","غالي جداً / يكلف دم قلبه","Kosta","يكلف","Kosta","Kostar","Kostade","Kostat"
307,"Hänga på en skör tråd","التعلق بخيط هش","على كف عفريت / وضع حرج جداً","Hänga","يعلق","Hänga","Hänger","Hängde","Hängt"
308,"Rensa luften","تتنظيف الهواء","تصفية الأجواء / حل الخلافات","Rensa","ينظف","Rensa","Rensar","Rensade","Rensat"
309,"Bita ihop","عض (الأسنان) معاً","تحمل الألم / كظم الغيظ وصبر","Bita","يعض","Bita","Biter","Bet","Bitit"
310,"Ta tillfället i akt","أخذ الفرصة في الاعتبار","اغتنم الفرصة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
311,"Gå i bräschen för","المشي في الثغرة لأجل..","يتصدر للدفاع عن / يقود الطريق","Gå","يمشي","Gå","Går","Gick","Gått"
312,"Hålla i trådarna","الإمساك بالخيوط","يدير الأمور / المسيطر","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
313,"Lägga ner stridsyxan","وضع فأس الحرب أرضاً","عقد الصلح / دفن الأحقاد","Lägga","يضع","Lägga","Lägger","La","Lagt"
314,"Stå på sig","الوقوف على (رأي) النفس","أصر على موقفه / صمد","Stå","يقف","Stå","Står","Stod","Stått"
315,"Göra susen","فعل (صوت) الهفيف","يأتي بالمفعول المطلوب / يفي بالغرض","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
316,"Ta illa upp","أخذه بشكل سيء","استاء / أخذ على خاطره","Ta","يأخذ","Ta","Tar","Tog","Tagit"
317,"Vara på hugget","أن يكون على القطع/اللدغ","متحفز / يقظ / مستعد","Vara","يكون","Vara","Är","Var","Varit"
318,"Klippa banden","قطع الأشرطة/الروابط","قطع العلاقات","Klippa","يقص","Klippa","Klipper","Klippte","Klippt"
319,"Få sista ordet","الحصول على الكلمة الأخيرة","حسم النقاش / قال كلمته الأخيرة","Få","يحصل","Få","Får","Fick","Fått"
320,"Göra bort sig","جعل نفسه بعيداً (أحمقاً)","أحرج نفسه / ارتكب حماقة","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
321,"Ha mage att","امتلاك معدة لـ..","يجرؤ بوقاحة / لديه الجرأة (الوقحة)","Ha","يملك","Ha","Har","Hade","Haft"
322,"Ligga lågt","الاستلقاء منخفضاً","توارى عن الأنظار / تجنب لفت الانتباه","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
323,"Stå ut","الوقوف للخارج (برز أو تحمل)","تحمل / طاق","Stå","يقف","Stå","Står","Stod","Stått"
324,"Hålla måttet","إمساك القياس","كان على المستوى المطلوب / كفؤ","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
325,"Ta dagen som den kommer","أخذ اليوم كما يأتي","عيش اليوم بيومه / عدم القلق من الغد","Ta","يأخذ","Ta","Tar","Tog","Tagit"
326,"Sätta färg på","وضع لون على","أضفى حيوية / بهج","Sätta","يضع","Sätta","Sätter","Satte","Satt"
327,"Kasta ett öga på","رمي عين على","ألقى نظرة سريعة","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
328,"Slå larm","ضرب الإنذار","دق ناقوس الخطر","Slå","يضرب","Slå","Slår","Slog","Slagit"
329,"Vara på håret","أن يكون على الشعرة","وشيك جداً / كاد أن يحدث","Vara","يكون","Vara","Är","Var","Varit"
330,"Gå sin egen väg","المشي في طريقه الخاص","استقل برأيه / شق طريقه بنفسه","Gå","يمشي","Gå","Går","Gick","Gått"
331,"Inte göra en fluga förnär","عدم إيذاء ذبابة","مسالم جداً / لا يهش ولا ينش","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
332,"Lita blint på","الثقة بشكل أعمى بـ","وثق ثقة عمياء","Lita","يثق","Lita","Litar","Litade","Litat"
333,"Ha skruvar lösa","لديه براغي مفكوكة","مجنون / عقله فيه لوثة","Ha","يملك","Ha","Har","Hade","Haft"
334,"Hålla skenet uppe","إبقاء المظهر عالياً","حفظ ماء الوجه / تظاهر بأن الأمور بخير","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
335,"Ge med sig","الإعطاء مع النفس","استسلم / لانَ جانبه / وافق بعد رفض","Ge","يعطي","Ge","Ger","Gav","Gett"
336,"Falla pusselbitarna på plats","سقوط قطع الأحجية في مكانها","اتضحت الصورة / فهم الأمر","Falla","يسقط","Falla","Faller","Föll","Fallit"
337,"Dra en gräns","سحب (رسم) حد","وضع حداً للأمر","Dra","يسحب","Dra","Drar","Drog","Dragit"
338,"Gå över gränsen","المشي فوق الحد","تجاوز الحدود / تمادى","Gå","يمشي","Gå","Går","Gick","Gått"
339,"Möta väggen","ملاقاة الحائط","أصيب بالاحتراق النفسي / انهار من الإرهاق","Möta","يقابل","Möta","Möter","Mötte","Mött"
340,"Gå på tomgång","المشي على اللاحمل (الخمول)","توقف عن التطور / يراوح مكانه","Gå","يمشي","Gå","Går","Gick","Gått"
341,"Ta sig ton","أخذ نغمة (لنفسه)","رفع صوته / تحدث بغطرسة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
342,"Stå inför rätta","الوقوف أمام العدالة","مثل أمام القضاء","Stå","يقف","Stå","Står","Stod","Stått"
343,"Äta någon ur huset","أكل شخص خارج المنزل","أكله لحم ورمي عظمه","Äta","يأكل","Äta","Äter","Åt","Ätit"
344,"Sitta säkert i sadeln","الجلوس بأمان في السرج","متمكن من منصبه / وضعه مستقر","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
345,"Krypa ur skinnet","الزحف خارج الجلد","يجن جنونه (من الغضب أو الملل)","Krypa","يزحف","Krypa","Kryper","Kröp","Krupit"
346,"Slå huvudet i väggen","ضرب الرأس في الحائط","يواجه طريقاً مسدوداً / محاولة عبثية","Slå","يضرب","Slå","Slår","Slog","Slagit"
347,"Vara i ropet","أن يكون في الصراخ (الشهرة)","مشهور / حديث الناس","Vara","يكون","Vara","Är","Var","Varit"
348,"Ligga i luften","الاستلقاء في الهواء","وشيك الحدوث / شيء محسوس في الجو","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
349,"Ta udden av","أخذ الطرف (المدبب) من","خفف من حدة الأمر","Ta","يأخذ","Ta","Tar","Tog","Tagit"
350,"Gå rakt på sak","المشي مباشرة إلى الشيء (الموضوع)","دخل في صلب الموضوع مباشرة","Gå","يمشي","Gå","Går","Gick","Gått"
351,"Ha huvudet på skaft","امتلاك الرأس على المقبض","ذكي / نبيه / مخه شغال","Ha","يملك","Ha","Har","Hade","Haft"
352,"Ta det kallt","أخذه ببرود","هدي أعصابك / لا تنفعل","Ta","يأخذ","Ta","Tar","Tog","Tagit"
353,"Få foten","الحصول على القدم","طُرد من العمل / تفنش","Få","يحصل","Få","Får","Fick","Fått"
354,"Gå i däck","الذهاب إلى سطح السفينة (سقوط)","سقط من التعب / غلبه النوم","Gå","يمشي","Gå","Går","Gick","Gått"
355,"Ha gröna fingrar","امتلاك أصابع خضراء","ماهر في الزراعة / يده خضراء","Ha","يملك","Ha","Har","Hade","Haft"
356,"Göra en tavla","عمل لوحة (فنية)","ارتكب حماقة / أخطأ خطأً فادحاً","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
357,"Vara under isen","أن تكون تحت الجليد","مكتئب / يمر بظروف سيئة جداً","Vara","يكون","Vara","Är","Var","Varit"
358,"Ta i så det knakar","السحب/الشد حتى يطقطق","بذل جهداً خارقاً / عمل بجدية قصوى","Ta","يأخذ","Ta","Tar","Tog","Tagit"
359,"Vara i sjunde himlen","أن تكون في السماء السابعة","في قمة السعادة / طاير من الفرح","Vara","يكون","Vara","Är","Var","Varit"
360,"Gå på tandköttet","المشي على اللثة","منهك تماماً / واصل حده","Gå","يمشي","Gå","Går","Gick","Gått"
361,"Ha myror i brallorna","امتلاك نمل في السروال","لا يستطيع الجلوس (قلق/متحمس)","Ha","يملك","Ha","Har","Hade","Haft"
362,"Inte ha ett rött öre","لا يملك أورة (عملة) حمراء","مفلس تماماً / على الحديدة","Ha","يملك","Ha","Har","Hade","Haft"
363,"Se sanningen i vitögat","رؤية الحقيقة في بياض العين","مواجهة الواقع المر","Se","يرى","Se","Ser","Såg","Sett"
364,"Slå sig till ro","ضرب (نفسه) للهدوء","استقر / اطمأن","Slå","يضرب","Slå","Slår","Slog","Slagit"
365,"Stå vid sitt ord","الوقوف عند كلمته","وفى بوعده / عند كلمته","Stå","يقف","Stå","Står","Stod","Stått"
366,"Ta för sig","الأخذ لنفسه","يتصرف بجرأة / يغتنم الفرص","Ta","يأخذ","Ta","Tar","Tog","Tagit"
367,"Ligga på latsidan","الاستلقاء على الجانب الكسول","تكاسل / تقاعس عن العمل","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
368,"Få napp","الحصول على عضة (للسمك)","نجح في مسعاه / لقى صيدته","Få","يحصل","Få","Får","Fick","Fått"
369,"Gå i fällan","المشي إلى المصيدة","وقع في الفخ","Gå","يمشي","Gå","Går","Gick","Gått"
370,"Ha långa fingrar","امتلاك أصابع طويلة","يمده يده (حرامي) / سارق","Ha","يملك","Ha","Har","Hade","Haft"
371,"Hålla truten","إمساك الخرطوم (الفم)","أغلق فمك / اخرس (عامية)","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
372,"Kamma sig","تمشيط شعره","تأدب / حسن تصرفك (تقال للتوبيخ)","Kamma","يمشط","Kamma","Kammar","Kammade","Kammat"
373,"Lägga ihop två och två","وضع اثنين واثنين معاً","فهم الأمر / استنتج الحقيقة","Lägga","يضع","Lägga","Lägger","La","Lagt"
